Time (ms),X,Y,Z
85,7973,194,-2761
165,7962,-223,-2488
245,7991,-349,-1694
325,8064,231,-1350
405,8123,562,-1548
485,8160,708,-1640
565,8177,784,-1632
645,8211,828,-1568
725,8226,832,-1513
805,8216,817,-1453
884,8237,818,-1399
964,8221,819,-1383
1044,8214,836,-1427
1204,8210,802,-1473
1284,8192,794,-1485
1364,8192,868,-1466
1444,8174,902,-1431
1524,8167,900,-1483
1604,8146,866,-1481
1684,8119,841,-1438
1764,8141,838,-1444
1844,8202,828,-1455
1924,8205,849,-1494
2004,8181,859,-1513
2084,8196,846,-1512
2164,8202,858,-1504
2244,8196,863,-1483
2324,8177,865,-1431
2484,8151,866,-1381
2564,8147,867,-1408
2644,8171,850,-1481
2724,8216,817,-1472
2804,8212,835,-1434
2884,8175,895,-1459
2964,8193,914,-1479
3044,8218,855,-1506
3124,8195,776,-1527
3204,8176,799,-1468
3284,8211,878,-1424
3364,8226,890,-1445
3444,8191,869,-1507
3524,8157,843,-1493
3604,8150,788,-1418
3684,8164,796,-1451
3844,8188,843,-1501
3924,8199,830,-1490
4004,8203,799,-1451
4084,8206,784,-1458
4164,8198,820,-1496
4244,8169,820,-1479
4324,8156,811,-1463
4404,8149,849,-1455
4484,8138,859,-1443
4564,8149,863,-1437
4644,8181,857,-1418
4724,8212,854,-1434
4804,8218,870,-1485
4884,8213,868,-1483
4964,8210,851,-1473
5124,8200,817,-1494
5204,8178,827,-1461
5284,8160,831,-1412
5364,8186,825,-1397
5444,8189,873,-1356
5524,8182,879,-1329
5604,8213,856,-1367
5684,8227,871,-1419
5764,8234,895,-1435
5844,8220,897,-1459
5924,8204,916,-1471
6004,8206,915,-1425
6084,8241,864,-1420
6164,8249,841,-1436
6244,8227,838,-1494
6324,8242,854,-1538
6484,8215,878,-1499
6564,8177,864,-1464
6644,8185,866,-1439
6724,8188,884,-1444
6803,8190,901,-1472
6883,8217,900,-1417
6963,8229,840,-1400
7043,8209,820,-1469
7123,8200,863,-1466
7203,8204,874,-1414
7283,8223,862,-1415
7363,8232,865,-1467
7443,8210,918,-1483
7523,8209,959,-1490
7603,8234,945,-1459
7683,8280,886,-1445
7843,8275,817,-1438
7923,8248,818,-1376
8003,8243,870,-1389
8083,8207,903,-1481
8163,8190,884,-1506
8243,8140,866,-1484
8323,8090,850,-1457
8403,8127,842,-1418
8483,8153,864,-1392
8563,8131,892,-1397
8643,8138,913,-1433
8723,8184,914,-1433
8803,8180,881,-1415
8883,8169,865,-1399
8963,8199,901,-1417
9043,8203,866,-1485
9203,8188,824,-1466
9283,8181,839,-1405
9363,8178,863,-1360
9443,8177,891,-1382
9523,8193,921,-1417
9603,8184,926,-1408
9683,8171,903,-1396
9763,8165,910,-1416
9843,8120,878,-1433
9923,8115,864,-1382
10005,8147,874,-1400
10083,8162,854,-1426
10163,8170,836,-1421
10243,8173,853,-1452
10323,8192,878,-1476
10403,8200,872,-1444
10563,8196,870,-1404
10643,8228,869,-1385
10723,8251,868,-1393
10803,8245,859,-1466
10883,8234,847,-1508
10963,8203,841,-1536
11043,8171,864,-1481
11123,8174,866,-1395
11203,8192,841,-1407
11283,8201,830,-1412
11363,8187,816,-1457
11443,8190,826,-1470
11523,8208,848,-1476
11603,8208,875,-1478
11683,8208,880,-1454
11763,8216,856,-1434
11923,8229,854,-1425
12003,8234,852,-1412
12083,8237,835,-1380
12163,8230,835,-1357
12243,8227,878,-1355
12323,8216,924,-1396
12403,8211,945,-1390
12483,8209,955,-1387
12563,8191,942,-1394
12643,8191,902,-1415
12723,8209,901,-1416
12802,8217,917,-1416
12882,8203,891,-1467
12962,8180,844,-1517
13042,8169,839,-1515
13122,8164,854,-1454
13282,8153,861,-1425
13362,8148,848,-1429
13442,8154,816,-1414
13522,8157,792,-1415
13602,8150,806,-1467
13682,8172,864,-1466
13762,8208,883,-1414
13842,8208,875,-1415
13922,8199,837,-1416
14002,8212,810,-1391
14082,8227,832,-1405
14162,8234,851,-1420
14242,8228,877,-1418
14322,8183,855,-1426
14402,8171,836,-1455
14482,8173,853,-1477
14642,8200,852,-1445
14722,8239,843,-1447
14802,8231,856,-1465
14882,8252,879,-1448
14962,8245,839,-1431
15042,8225,828,-1432
15122,8250,849,-1398
15202,8244,842,-1391
15282,8199,839,-1421
15362,8169,837,-1393
15442,8164,845,-1397
15522,8179,840,-1459
15602,8195,829,-1454
15682,8193,807,-1400
15762,8209,831,-1409
15842,8234,876,-1464
16002,8229,889,-1499
16082,8200,877,-1532
16162,8187,829,-1539
16242,8190,815,-1482
16322,8165,826,-1447
16402,8179,814,-1414
16482,8212,834,-1415
16562,8210,869,-1425
16642,8208,885,-1412
16722,8199,876,-1397
16802,8204,854,-1399
16882,8215,861,-1391
16962,8194,873,-1388
17042,8193,887,-1446
17122,8192,885,-1465
17202,8166,901,-1430
17362,8146,909,-1423
17442,8188,895,-1437
17522,8215,906,-1400
17602,8211,911,-1383
17682,8218,888,-1384
17762,8195,843,-1419
17842,8184,848,-1486
17922,8171,901,-1492
18002,8165,883,-1469
18082,8171,866,-1450
18162,8199,909,-1415
18242,8178,895,-1347
18322,8160,881,-1376
18402,8177,891,-1449
18482,8151,904,-1457
18562,8164,910,-1453
18721,8196,896,-1399
18801,8211,864,-1374
18881,8200,849,-1397
18961,8179,842,-1459
19041,8194,821,-1522
19121,8236,829,-1449
19201,8238,858,-1372
19281,8213,897,-1353
19361,8244,899,-1353
19441,8259,882,-1413
19521,8257,891,-1415
19601,8231,708,-1356
19681,8176,588,-1406
19761,8193,737,-1506
19841,8244,644,-1561
19921,8250,303,-1543
20001,8219,297,-1535
20161,8195,482,-1626
20241,8168,551,-1778
20321,8138,771,-1807
20401,8141,788,-1761
20481,8185,702,-1748
20561,8223,705,-1682
20641,8232,621,-1635
20721,8244,650,-1569
20801,8242,698,-1531
20881,8224,728,-1538
20961,8207,692,-1524
21041,8198,606,-1544
21121,8203,618,-1562
21201,8214,657,-1561
21281,8219,675,-1612
21361,8187,684,-1678
21521,8147,671,-1684
21601,8145,682,-1678
21681,8179,661,-1675
21761,8186,643,-1657
21841,8172,695,-1699
21921,8174,736,-1728
22001,8149,746,-1724
22081,8138,751,-1739
22161,8141,728,-1755
22241,8134,683,-1762
22321,8139,730,-1749
