Time (ms),X,Y,Z
85,-347,-368,-8194
165,-495,-639,-8249
245,-683,-783,-8035
325,-481,-500,-7927
405,-148,-61,-8124
565,58,136,-8174
645,172,49,-8137
725,174,76,-8111
805,124,148,-8133
885,143,224,-8144
965,135,252,-8114
1045,106,154,-8092
1125,117,236,-8133
1204,148,420,-8169
1284,231,428,-8126
1364,278,364,-8106
1444,266,368,-8114
1524,260,370,-8143
1604,283,354,-8200
1684,234,355,-8200
1764,203,270,-8200
1924,197,128,-8243
2004,194,130,-8263
2084,252,242,-8230
2164,271,319,-8214
2244,272,305,-8250
2324,246,204,-8198
2404,225,89,-8139
2484,259,26,-8164
2564,274,-20,-8192
2644,264,-93,-8222
2724,260,-67,-8210
2804,258,-30,-8171
2884,265,-29,-8212
2964,269,-12,-8232
3044,279,47,-8206
3124,300,84,-8203
3204,311,160,-8227
3364,315,205,-8187
3444,326,234,-8126
3524,331,256,-8123
3604,308,198,-8147
3684,297,222,-8202
3764,284,319,-8209
3844,260,372,-8204
3924,283,372,-8245
4004,294,363,-8273
4084,282,325,-8243
4164,294,282,-8212
4244,316,287,-8223
4324,301,306,-8211
4404,251,290,-8197
4484,219,316,-8208
4564,213,346,-8229
4644,244,411,-8231
4804,285,433,-8232
4884,295,417,-8215
4964,291,401,-8173
5044,289,411,-8154
5124,314,458,-8145
5204,326,489,-8175
5284,306,511,-8240
5364,296,496,-8270
5444,283,490,-8224
5524,294,512,-8229
5604,316,514,-8214
5684,326,464,-8181
5764,348,440,-8217
5844,376,438,-8251
5924,380,462,-8232
6004,339,482,-8207
6084,312,466,-8212
6244,307,441,-8215
6324,314,464,-8216
6404,334,492,-8182
6484,335,496,-8140
6564,310,515,-8156
6644,315,490,-8197
6724,318,435,-8208
6804,293,427,-8212
6884,299,448,-8206
6964,344,441,-8195
7044,348,421,-8181
7124,316,412,-8174
7203,309,416,-8146
7283,281,426,-8107
7363,284,423,-8174
7443,329,412,-8222
7523,324,408,-8202
7683,288,414,-8210
7763,279,417,-8196
7843,292,410,-8164
7923,298,406,-8149
8003,327,371,-8185
8083,349,371,-8253
8163,316,380,-8225
8243,275,392,-8203
8323,282,484,-8245
8403,319,535,-8221
8483,319,507,-8210
8563,328,512,-8214
8643,358,556,-8206
8723,363,534,-8229
8803,357,507,-8231
8883,303,529,-8189
8963,278,513,-8170
9123,283,497,-8204
9203,294,516,-8193
9283,325,507,-8163
9363,348,503,-8192
9443,341,510,-8222
9523,347,521,-8270
9603,375,535,-8276
9683,354,482,-8261
9763,370,440,-8246
9843,386,429,-8205
9923,350,441,-8211
10003,351,489,-8205
10083,335,478,-8177
10165,335,464,-8164
10243,370,474,-8158
10323,377,402,-8155
10483,380,343,-8197
10563,356,367,-8207
10643,337,352,-8187
10723,319,320,-8177
10803,285,322,-8164
10883,269,297,-8184
10963,288,243,-8218
11043,322,269,-8217
11123,372,315,-8225
11203,387,285,-8229
11283,377,271,-8256
11363,355,273,-8286
11443,353,274,-8275
11523,353,266,-8261
11603,327,152,-8246
11683,348,-80,-8187
11763,342,-394,-8134
11923,330,-497,-8161
12003,316,-495,-8157
12083,250,-510,-8155
12163,244,-364,-8214
12243,293,-168,-8267
12323,324,-9,-8257
12403,305,125,-8270
12483,287,265,-8293
12563,279,296,-8278
12643,249,285,-8279
12723,270,314,-8271
12802,305,362,-8259
12882,347,401,-8228
12962,358,411,-8247
13042,355,424,-8239
13122,362,447,-8202
13202,356,492,-8235
13362,345,496,-8242
13442,315,455,-8186
13522,292,496,-8134
13602,315,626,-8195
13682,343,678,-8249
13762,331,651,-8266
13842,299,638,-8274
13922,302,581,-8235
14002,380,478,-8225
14082,433,438,-8229
14162,415,419,-8197
14242,398,343,-8224
14322,390,230,-8289
14402,378,186,-8276
14482,373,182,-8236
14562,404,113,-8234
14642,453,63,-8208
14802,442,40,-8170
14882,385,4,-8203
14962,367,21,-8236
15042,402,62,-8243
15122,409,40,-8254
15202,395,4,-8225
15282,415,4,-8220
15362,389,-22,-8227
15442,344,-34,-8230
15522,339,-48,-8240
15602,406,-80,-8244
15682,437,-53,-8255
15762,417,3,-8209
15842,433,12,-8170
15922,415,-35,-8178
16002,390,-83,-8225
16082,395,-79,-8289
16242,398,-61,-8319
16322,373,-52,-8290
16402,396,-48,-8268
16482,406,-46,-8283
16562,403,-28,-8273
16642,393,-45,-8243
16722,379,-36,-8220
16802,390,2,-8184
16882,404,-6,-8193
16962,427,-9,-8197
17042,404,-45,-8233
17122,376,-79,-8301
17202,397,-52,-8230
17282,424,-48,-8206
17362,445,-71,-8237
17442,438,-91,-8218
17522,392,-92,-8217
17682,396,-50,-8208
17762,398,-47,-8204
17842,425,-37,-8159
17922,463,-16,-8139
18002,489,-65,-8198
18082,484,-80,-8233
18162,439,-61,-8224
18242,444,-44,-8228
18322,437,-19,-8256
18402,468,-15,-8261
18482,508,-82,-8280
18562,501,-164,-8272
18642,490,-160,-8285
18721,459,-149,-8300
18801,436,-153,-8315
18881,408,-163,-8331
18961,378,-117,-8304
19121,373,-53,-8283
19201,455,45,-8230
19281,520,74,-8180
19361,481,-32,-8148
19441,463,-64,-8142
19521,472,-45,-8190
19601,468,6,-8230
19681,449,-13,-8248
19761,448,-72,-8249
19841,414,-91,-8249
19921,389,-32,-8180
20001,403,114,-8148
20081,393,183,-8227
20161,371,96,-8230
20241,378,38,-8214
20321,398,80,-8241
20401,416,133,-8254
20561,416,107,-8242
20641,399,43,-8246
20721,408,82,-8239
20801,429,117,-8218
20881,447,107,-8234
20961,439,129,-8259
21041,427,71,-8322
21121,472,-8,-8334
21201,536,-27,-8263
21281,549,-45,-8230
21361,512,-62,-8214
21441,469,-78,-8215
21521,424,-86,-8241
